,experience_years,ai_tool_usage_hours_per_week,tasks_automated_percent,manual_work_hours_per_week,learning_time_hours_per_week,meeting_hours_per_week,collaboration_hours_per_week,error_rate_percent,task_complexity_score,focus_hours_per_day,work_life_balance_score,burnout_risk_score,job_role_Designer,job_role_Developer,job_role_Manager,job_role_Marketer,job_role_Writer,deadline_pressure_level_Low,deadline_pressure_level_Medium,productivity_score
0,1.4923042822468853,0.2497304610096284,0.17098781973989471,-0.4907913371337429,-0.4273772635771617,-0.9975425038043646,-1.9567559852600522,-1.248896803868558,-1.2258096866048676,1.799120397443958,0.03778820764614686,0.9071515204532298,False,False,False,False,True,False,False,81.0
1,-1.1189187334018278,0.07754214038703947,-0.11932154930373565,0.14341258431952103,0.4248836113874499,0.30515359510332796,0.510028759286535,-0.1823889378076929,-0.8763327739260849,-0.9681690321475261,0.38902117927601393,-0.8683502512315796,True,False,False,False,False,True,False,59.2
2,-0.770755664648666,2.677585781788132,2.8695453638045505,-1.913883063321554,-0.4273772635771617,0.048885510072306425,0.21401458994094447,2.2534623612202083,-0.1773789485685198,-0.07066975768542334,-0.46397318039652025,0.7196761781014177,False,True,False,False,False,False,True,62.4
3,1.6663858166234662,-0.42180398941846853,-0.5745794234857926,0.421843574225832,-1.2796381385417732,-0.6558517237630027,0.11534320015908076,-0.6300589062776857,-0.1773789485685198,0.6772463043663292,-0.4137970415922535,0.9071515204532298,False,False,True,False,False,False,False,76.8
4,0.7959781447405618,-0.30127216498265635,-0.3502494564975326,-0.35157584218058713,-0.4273772635771617,-0.14331555370095958,-0.9700420874414174,0.4298655778939147,1.5700056148253931,-2.763167581071732,1.3423678165570816,-1.6403075432684535,False,True,False,False,False,True,False,53.7
5,-1.1189187334018278,0.9901402396867609,0.5932559928942662,-0.04220807561801947,-0.4273772635771617,-1.189743567577631,-1.2002753302657656,0.7722014361356738,-0.1773789485685198,0.9764127291870305,-0.012387931158119671,0.3557534547126057,False,False,False,False,False,False,True,54.3
6,-0.9448371990252469,-0.49067931766750417,-0.376641217319681,0.0660706426788791,-0.0012468260948559186,-0.8266971137836836,-1.2331657935263867,1.015786566038464,1.5700056148253931,0.45287148575080355,0.740254150905881,-0.2618123789168933,False,False,False,False,False,False,True,47.3
7,0.4478150759874001,-0.7833994627259053,-0.35684739670306975,0.48371712753834534,-0.7114642218986988,-0.2928052699690555,-1.3976181098294924,0.048029428316567944,0.8710517894678279,-0.5194193949164746,0.3388450404717474,0.07454044118488758,True,False,False,False,False,False,True,48.1
8,1.4923042822468853,-1.2138702642823778,-0.8253011512962007,0.3445016325851901,-1.1375946593810047,0.9244681339282966,0.5758096858077771,-0.998728292076503,1.5700056148253931,0.9764127291870305,0.7904302897101476,-1.1991890906759544,False,False,True,False,False,True,False,73.0
9,-1.6411633365315703,-0.835055958912682,-0.8450949719128119,0.48371712753834534,-0.4273772635771617,1.3942929564851694,1.0362761714564734,0.6339504164611173,-0.8763327739260849,-1.6412934879941035,-0.6145015968093204,0.8520117138791676,False,False,True,False,False,False,True,31.3
